a_study,a_year,country,s025,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q66_confidence_press,Q67_confidence_television,Q69_confidence_police,Q71_confidence_government,Q72_confidence_politicalparties,Q75_confidence_universities,Q78_confidence_banks,Q201_consume_dailynewspaper,Q202_consume_TVnews,Q203_consume_radionews,Q204_consume_mobilephone,Q205_consume_email,Q206_consume_internet,Q207_consume_socialmedia,Q208_talk_with_friends_colleagues,Q255_closeness_city,Q256_closeness_region,Q257_closeness_country,Q258_closeness_Latam,Q259_closeness_World,Q263_native_Inmigrant,Q240_placement_left_right,Q260_gender,Q262_age,country_name,gender_label,citizen_type,age_group,Q57_trust_question_rescaled,social_trust_index,Q204_consume_mobilephone_rescaled,Q205_consume_email_rescaled,Q206_consume_internet_rescaled,Q207_consume_socialmedia_rescaled,Q208_talk_with_friends_colleagues_rescaled,social_media_usage_index,polarization_index,polarization_norm,social_trust_norm,digital_media_norm
2,2018,ECU,2182018,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,1.0,45.0,Ecuador,Male,Native,45-59,1.0,1.4285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.14285714285714285,0.0
2,2018,ECU,2182018,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,62.0,Ecuador,Male,Native,60-74,1.0,1.7142857142857142,1.0,5.0,4.0,5.0,2.0,3.4,3.5,0.75,0.23809523809523808,0.6
2,2018,ECU,2182018,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,40.0,Ecuador,Male,Native,30-44,1.0,1.5714285714285714,2.0,2.0,1.0,1.0,1.0,1.4,3.5,0.75,0.1904761904761904,0.09999999999999998
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,68.0,Ecuador,Female,Native,60-74,1.0,2.4285714285714284,4.0,1.0,1.0,1.0,1.0,1.6,4.5,1.0,0.4761904761904761,0.15000000000000002
2,2018,ECU,2182018,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,18.0,Ecuador,Male,Native,18-29,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5,0.0,0.3333333333333333,0.25
2,2018,ECU,2182018,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,10.0,1.0,66.0,Ecuador,Male,Native,60-74,1.0,1.7142857142857142,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1.0,0.23809523809523808,1.0
2,2018,ECU,2182018,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,5.0,1.0,43.0,Ecuador,Male,Native,30-44,1.0,1.8571428571428572,3.0,5.0,5.0,5.0,3.0,4.2,0.5,0.0,0.28571428571428575,0.8
2,2018,ECU,2182018,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0,32.0,Ecuador,Female,Native,30-44,1.0,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.1904761904761904,0.0
2,2018,ECU,2182018,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,68.0,Ecuador,Male,Native,60-74,1.0,2.0,1.0,5.0,5.0,5.0,1.0,3.4,4.5,1.0,0.3333333333333333,0.6
2,2018,ECU,2182018,1.0,4.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,28.0,Ecuador,Male,Native,18-29,1.0,2.857142857142857,5.0,5.0,5.0,5.0,5.0,5.0,0.5,0.0,0.6190476190476191,1.0
2,2018,ECU,2182018,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,3.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0,1.0,5.0,2.0,24.0,Ecuador,Female,Native,18-29,1.0,1.5714285714285714,1.0,2.0,1.0,1.0,1.0,1.2,0.5,0.0,0.1904761904761904,0.04999999999999999
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,35.0,Ecuador,Male,Native,30-44,1.0,2.4285714285714284,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.4761904761904761,0.0
2,2018,ECU,2182018,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,54.0,Ecuador,Male,Native,45-59,1.0,2.0,1.0,5.0,3.0,2.0,3.0,2.8,0.5,0.0,0.3333333333333333,0.44999999999999996
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,5.0,1.0,29.0,Ecuador,Male,Native,30-44,1.0,2.7142857142857144,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5714285714285714,0.0
2,2018,ECU,2182018,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,10.0,2.0,29.0,Ecuador,Female,Native,30-44,1.0,1.5714285714285714,4.0,5.0,1.0,5.0,5.0,4.0,4.5,1.0,0.1904761904761904,0.75
2,2018,ECU,2182018,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,22.0,Ecuador,Male,Native,18-29,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.0
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,39.0,Ecuador,Female,Native,30-44,1.0,2.142857142857143,1.0,1.0,3.0,1.0,1.0,1.4,0.5,0.0,0.3809523809523809,0.09999999999999998
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,2.0,33.0,Ecuador,Female,Native,30-44,1.0,2.4285714285714284,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.4761904761904761,0.0
2,2018,ECU,2182018,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,1.0,41.0,Ecuador,Male,Native,30-44,1.0,1.4285714285714286,1.0,3.0,1.0,1.0,3.0,1.8,0.5,0.0,0.14285714285714285,0.2
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,2.0,28.0,Ecuador,Female,Native,18-29,1.0,2.4285714285714284,1.0,1.0,1.0,1.0,2.0,1.2,0.5,0.0,0.4761904761904761,0.04999999999999999
2,2018,ECU,2182018,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,30.0,Ecuador,Male,Native,30-44,1.0,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.1904761904761904,0.0
2,2018,ECU,2182018,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,2.0,18.0,Ecuador,Female,Native,18-29,1.0,1.7142857142857142,1.0,1.0,1.0,1.0,5.0,1.8,0.5,0.0,0.23809523809523808,0.2
2,2018,ECU,2182018,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,10.0,2.0,45.0,Ecuador,Female,Native,45-59,1.0,1.5714285714285714,1.0,3.0,2.0,3.0,5.0,2.8,4.5,1.0,0.1904761904761904,0.44999999999999996
2,2018,ECU,2182018,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,6.0,2.0,22.0,Ecuador,Female,Native,18-29,1.0,1.8571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.28571428571428575,0.0
2,2018,ECU,2182018,1.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,8.0,1.0,30.0,Ecuador,Male,Native,30-44,1.0,2.7142857142857144,5.0,5.0,1.0,1.0,1.0,2.6,2.5,0.5,0.5714285714285714,0.4
2,2018,ECU,2182018,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,32.0,Ecuador,Female,Native,30-44,1.0,1.4285714285714286,1.0,4.0,1.0,1.0,5.0,2.4,1.5,0.25,0.14285714285714285,0.35
2,2018,ECU,2182018,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,1.0,46.0,Ecuador,Male,Native,45-59,1.0,3.142857142857143,5.0,2.0,1.0,1.0,1.0,2.0,0.5,0.0,0.7142857142857142,0.25
2,2018,ECU,2182018,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,1.0,57.0,Ecuador,Male,Native,45-59,1.0,2.142857142857143,5.0,5.0,5.0,5.0,5.0,5.0,0.5,0.0,0.3809523809523809,1.0
2,2018,ECU,2182018,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,1.0,63.0,Ecuador,Male,Native,60-74,1.0,1.8571428571428572,3.0,5.0,5.0,3.0,4.0,4.0,1.5,0.25,0.28571428571428575,0.75
2,2018,ECU,2182018,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,40.0,Ecuador,Male,Native,30-44,1.0,2.0,3.0,3.0,3.0,4.0,4.0,3.4,4.5,1.0,0.3333333333333333,0.6
2,2018,ECU,2182018,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,2.0,24.0,Ecuador,Female,Native,18-29,1.0,1.2857142857142858,5.0,5.0,1.0,1.0,5.0,3.4,0.5,0.0,0.09523809523809529,0.6
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,25.0,Ecuador,Male,Native,18-29,1.0,2.4285714285714284,2.0,4.0,2.0,1.0,4.0,2.6,0.5,0.0,0.4761904761904761,0.4
2,2018,ECU,2182018,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,39.0,Ecuador,Female,Native,30-44,1.0,2.142857142857143,1.0,1.0,1.0,1.0,2.0,1.2,2.5,0.5,0.3809523809523809,0.04999999999999999
2,2018,ECU,2182018,1.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,1.0,64.0,Ecuador,Male,Native,60-74,1.0,2.857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6190476190476191,0.0
2,2018,ECU,2182018,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,1.0,56.0,Ecuador,Male,Native,45-59,1.0,1.4285714285714286,2.0,2.0,2.0,2.0,4.0,2.4,4.5,1.0,0.14285714285714285,0.35
2,2018,ECU,2182018,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,9.0,2.0,24.0,Ecuador,Female,Native,18-29,,1.6666666666666667,3.0,3.0,1.0,1.0,1.0,1.8,3.5,0.75,0.22222222222222227,0.2
