a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2018,ECU,1,4,2,2,1,1,1,1,1,1,2,23,1
2,2017,ARG,1,4,3,3,2,3,3,5,5,-1,2,37,1
2,2017,ARG,1,4,4,4,3,3,3,3,1,10,2,58,1
2,2017,ARG,-1,4,2,1,1,2,2,4,1,5,1,24,1
2,2017,ARG,2,4,4,4,3,4,4,5,5,10,2,40,1
2,2017,ARG,1,4,1,3,2,2,2,1,1,-2,2,35,1
2,2017,ARG,1,3,1,2,3,2,2,3,3,7,1,19,1
2,2017,ARG,1,2,-1,1,3,2,1,2,1,7,2,22,1
2,2017,ARG,1,4,3,3,1,1,2,5,5,-2,2,27,1
2,2017,ARG,1,3,3,3,2,2,2,5,5,6,2,52,1
2,2017,ARG,1,3,1,1,1,1,1,5,5,3,2,54,1
2,2017,ARG,2,4,4,4,4,4,4,5,-5,-1,2,39,1
2,2017,ARG,1,3,3,2,3,3,3,2,1,6,1,61,1
2,2017,ARG,1,4,3,3,2,3,3,5,5,-1,2,25,1
2,2017,ARG,2,4,3,2,1,3,2,5,-5,5,1,35,1
2,2017,ARG,1,4,3,3,2,4,3,4,4,5,1,26,1
2,2017,ARG,1,4,3,3,2,3,3,5,-5,-1,2,52,1
2,2017,ARG,2,4,4,4,3,4,3,1,1,-1,2,66,1
2,2017,ARG,1,4,3,3,2,3,3,5,-5,-1,1,38,1
2,2017,BOL,1,2,1,3,2,-1,1,1,1,2,2,56,1
2,2017,BOL,1,3,1,2,1,2,2,5,5,1,2,20,1
2,2017,BOL,1,2,2,2,1,2,-1,1,1,6,2,75,1
2,2017,BOL,1,2,3,2,1,1,1,1,1,-2,2,53,1
2,2017,BOL,1,4,2,4,2,2,2,1,1,9,1,43,1
2,2017,BOL,1,3,3,2,2,2,3,4,4,6,1,24,1
2,2017,BOL,1,2,2,2,1,2,1,1,1,-2,2,21,1
2,2017,BOL,1,3,2,2,2,2,1,-1,-1,5,1,54,1
2,2017,BOL,1,4,1,2,2,2,2,1,5,5,1,29,1
2,2017,BOL,1,4,2,1,1,2,1,1,1,5,1,51,1
2,2017,BOL,1,4,3,3,1,1,1,5,5,3,1,36,1
2,2017,BOL,1,4,3,3,1,2,2,5,1,5,1,30,1
2,2017,BOL,1,4,3,3,2,3,3,5,5,5,1,27,1
2,2017,BOL,1,3,4,2,2,1,2,1,1,-2,2,76,1
2,2017,BOL,1,4,3,4,1,3,3,5,5,-2,1,48,1
2,2017,BOL,1,4,3,2,1,3,2,1,1,10,2,67,1
2,2017,BOL,1,4,1,3,1,1,1,-1,5,5,1,22,1
2,2017,BOL,1,3,1,2,1,3,2,-1,3,6,2,26,1
2,2017,BOL,1,2,2,2,2,2,1,-1,-1,6,2,58,1
2,2017,BOL,1,2,2,2,3,3,3,5,5,5,1,44,1
2,2017,BOL,1,4,3,3,2,3,3,5,5,5,1,36,1
2,2017,BOL,1,3,1,3,1,1,3,5,5,5,1,31,1
2,2017,BOL,1,4,2,4,3,2,2,1,1,5,1,56,1
2,2017,BOL,1,2,2,3,2,2,2,1,1,4,1,70,1
2,2017,BOL,1,3,3,3,1,3,3,5,5,5,1,20,1
2,2017,BOL,1,4,3,2,1,2,2,1,1,4,1,31,1
2,2017,BOL,2,4,4,4,1,2,1,1,1,1,2,65,1
2,2017,BOL,1,4,3,4,3,3,3,5,5,7,1,24,1
2,2017,BOL,1,4,2,3,2,3,2,4,4,5,2,35,1
2,2017,BOL,1,4,1,1,1,1,1,1,1,-2,1,70,1
2,2017,BOL,1,4,1,2,1,1,2,4,4,7,1,37,1
2,2017,BOL,1,4,4,4,4,2,2,5,5,5,1,32,1
2,2017,BOL,2,4,3,3,1,3,3,1,5,-1,1,30,1
2,2017,BOL,1,4,3,3,1,2,2,5,5,-1,2,43,1
2,2017,BOL,1,4,2,3,1,2,2,3,5,5,2,25,1
2,2017,BOL,1,4,2,2,1,3,2,1,1,5,2,46,1
2,2017,BOL,1,4,2,2,1,2,2,5,5,6,1,56,1
2,2017,BOL,1,3,2,3,2,3,2,1,1,-2,1,63,1
2,2017,BOL,1,4,1,1,1,1,1,1,1,5,2,80,1
2,2018,BRA,1,3,4,3,3,3,3,5,2,-2,2,61,1
2,2018,BRA,1,4,2,2,2,1,-1,5,5,3,1,56,1
2,2018,BRA,1,4,1,2,3,3,3,1,1,5,2,50,1
2,2018,BRA,1,4,3,3,1,3,3,5,5,-2,2,33,1
2,2018,BRA,1,2,2,2,1,1,1,5,5,5,2,24,1
2,2018,BRA,1,4,2,3,2,1,1,1,1,5,1,35,1
2,2018,BRA,1,4,4,3,4,1,1,1,1,7,1,71,1
2,2018,BRA,1,3,3,3,1,2,2,5,4,-1,2,59,1
2,2018,BRA,1,2,1,3,3,3,3,5,4,-1,2,17,1
2,2018,BRA,1,4,2,2,1,-1,1,1,1,-2,1,71,1
2,2018,BRA,1,4,3,3,2,3,1,2,2,5,1,54,1
2,2018,BRA,1,4,4,3,3,-1,-1,1,1,-2,2,80,1
2,2018,BRA,1,3,2,2,1,3,3,5,5,-2,2,38,1
2,2018,BRA,1,4,4,4,3,4,4,5,5,8,2,69,1
2,2018,BRA,1,4,1,1,1,1,1,1,1,-1,2,51,1
2,2018,BRA,1,4,4,4,2,3,3,5,5,5,1,62,1
2,2018,BRA,1,1,1,3,1,1,1,1,1,10,1,47,1
2,2018,BRA,1,4,3,3,3,3,1,5,5,1,1,54,1
2,2018,BRA,1,4,1,2,1,1,1,2,-1,-1,1,71,1
2,2018,BRA,1,4,2,3,2,2,2,5,1,5,1,45,1
2,2018,BRA,1,3,3,4,1,3,2,5,2,-1,2,39,1
