B_COUNTRY_ALPHA,CYP,ECU,GRC,IDN,JOR,LBY,MAC,MDV,NZL,NGA,PHL,SRB,THA,TUN,GBR,UZB,NIR,CHN,SGP,VNM,AUS,CAN,ETH,KEN,NLD,ZWE,AND,ARG,BGD,ARM,BOL,BRA,MMR,CHL,TWN,COL,CZE,DEU,HKG,IRN,JPN,KAZ,KOR,KGZ,LBN,MEX,PAK,PER,PRI,ROU,RUS,SVK,TUR,UKR,EGY,USA,URY,IND,MNG,NIC,MAR,VEN,IRQ,TJK,GTM,MYS,,,,,,,,,,,,,,,,,,,,
C_COW_ALPHA,CYP,ECU,GRC,INS,JOR,LIB,MAU,MAD,NEW,NIG,PHI,SRB,THI,TUN,UKG,UZB,NIRL,CHN,SIN,DRV,AUL,CAN,ETH,KEN,NTH,ZIM,AND,ARG,BNG,ARM,BOL,BRA,MYA,CHL,TAW,COL,CZR,GMY,HKG,IRN,JPN,KZK,ROK,KYR,LEB,MEX,PAK,PER,PRI,ROM,RUS,SLO,TUR,UKR,EGY,USA,URU,IND,MNG,NIC,MOR,VEN,IRQ,TAJ,GUA,MAL,,,,,,,,,,,,,,,,,,,,
Q205P,1,,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q206P,1,5,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q207P,1,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q208P,1,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q217P,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q218P,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q219P,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q220P,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q240,,5,10,6,7,3,2,1,8,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q252,1,5,,9,8,2,3,4,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q253P,1,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q255P,4,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q256P,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q257P,4,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q258P,1,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q259P,1,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q260,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q262,61,42,64,52,39,25,36,77,28,38,58,21,22,29,43,53,27,55,23,37,59,63,32,46,73,34,49,30,48,41,51,35,31,45,62,40,68,18,66,24,54,33,60,57,56,47,44,71,65,19,70,50,20,69,67,26,,78,74,79,85,82,83,80,81,86,84.0,72.0,76.0,75.0,87.0,90.0,89.0,91.0,99.0,17.0,88.0,92.0,94.0,93.0,16.0,100.0,103.0,95.0,96.0,98.0
Q263,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
